DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
Tolima,IBAGUÉ,1423,2019,11,1802201,3,0,0,0,0,0,0,0
Boyacá,TURMEQUÉ,1423,2019,11,3410001,2,0,0,0,0,0,0,0
Caldas,LA DORADA,1423,2019,11,3281101,1,5,0,0,0,0,0,0
Valle del Cauca,CARTAGO,1423,2019,11,2851302,0,2,0,0,0,0,0,0
Cundinamarca,LA PALMA,1423,2019,11,1950001,1,0,0,0,0,0,0,0
Quindio,GÉNOVA,1423,2019,11,2012101,3,0,0,0,0,0,0,0
La Guajira,VILLANUEVA,1423,2019,11,2924102,2,0,0,0,0,0,0,0
Cundinamarca,MOSQUERA,1423,2019,11,2516101,16,3,0,0,0,0,0,0
Bolívar,SAN JACINTO,1423,2019,11,2013001,0,0,0,0,0,0,0,0
Huila,NEIVA,1423,2019,11,1515401,18,1,0,0,0,0,0,0
Tolima,PURIFICACIÓN,1423,2019,11,2013001,9,0,0,0,0,0,0,0
Huila,NEIVA,1423,2019,11,2642501,47,0,0,0,0,0,0,0
Quindio,CÓRDOBA,1423,2019,11,1014001,0,0,0,0,0,0,0,0
Antioquia,RETIRO,1423,2019,11,2749301,1,0,0,0,0,0,0,0
Guainía,INÍRIDA,1423,2019,11,5454101,0,0,0,0,0,0,0,0
Cundinamarca,SOACHA,1423,2019,11,2152101,0,0,0,0,0,0,0,0
Antioquia,SAN PEDRO DE LOS MILAGROS,1423,2019,11,1741201,1,0,0,0,0,0,0,0
Santander,PIEDECUESTA,1423,2019,11,4524104,4,0,0,0,0,0,0,0
Caldas,LA DORADA,1423,2019,11,3011201,0,0,0,0,0,0,0,0
Santander,VÉLEZ,1423,2019,11,1525201,0,0,0,0,0,0,0,0
Huila,GARZÓN,1423,2019,11,2551101,10,0,0,0,0,0,0,0
Cundinamarca,TABIO,1423,2019,11,1014001,0,18,0,0,0,0,0,0
Valle del Cauca,CARTAGO,1423,2019,11,1525201,3,0,0,0,0,0,0,0
Cundinamarca,MOSQUERA,1423,2019,11,3505101,33,0,0,0,0,0,0,0
Caldas,CHINCHINÁ,1423,2019,11,2011101,3,0,0,0,0,0,0,0
Antioquia,ENVIGADO,1423,2019,11,2551101,8,0,0,0,0,0,0,0
Antioquia,HISPANIA,1423,2019,11,1950001,0,0,0,0,0,0,0,0
Cundinamarca,VILLA DE SAN DIEGO DE UBATE,1423,2019,11,1911201,0,0,0,0,0,0,0,0
Santander,PÁRAMO,1423,2019,11,1512401,1,0,0,0,0,0,0,0
Meta,VILLAVICENCIO,1423,2019,11,1513401,10,0,0,0,0,0,0,0
Cesar,EL COPEY,1423,2019,11,1671901,0,0,0,0,0,0,0,0
Cundinamarca,SAN JUAN DE RÍO SECO,1423,2019,11,1014001,0,1,0,0,0,0,0,0
Meta,PUERTO GAITÁN,1423,2019,11,1851301,0,0,0,0,0,0,0,0
Antioquia,CONCORDIA,1423,2019,11,1523101,2,0,0,0,0,0,0,0
"Bogotá, D.C.","BOGOTÁ, D.C.",1423,2019,11,4454202,492,32,2,0,0,0,1,0
Valle del Cauca,BUENAVENTURA,1423,2019,11,1524201,3,0,0,0,0,0,0,0
Magdalena,CIÉNAGA,1423,2019,11,1851301,3,0,0,0,0,0,0,0
Cundinamarca,QUETAME,1423,2019,11,1804501,0,0,0,0,0,0,0,0
Santander,BUCARAMANGA,1423,2019,11,1671501,8,0,0,0,0,0,0,0
Antioquia,MEDELLÍN,1423,2019,11,5291201,5,0,0,0,0,0,0,0
Antioquia,CIUDAD BOLÍVAR,1423,2019,11,1524401,1,0,0,0,0,0,0,0
Casanare,YOPAL,1423,2019,11,5111001,0,0,0,0,0,0,0,0
Bolívar,CARTAGENA,1423,2019,11,2224001,0,0,0,0,0,0,0,0
Caldas,ARANZAZU,1423,2019,11,1522101,0,0,0,0,0,0,0,0
Caldas,NEIRA,1423,2019,11,2642301,2,0,0,0,0,0,0,0
Valle del Cauca,TULUÁ,1423,2019,11,2012101,74,6,2,0,0,0,0,0
Valle del Cauca,JAMUNDÍ,1423,2019,11,4502001,1,0,0,0,0,0,0,0
Santander,SAN GIL,1423,2019,11,3154301,0,0,0,0,0,0,0,0
Antioquia,COPACABANA,1423,2019,11,3289902,0,0,0,0,0,0,0,0
Antioquia,SAN RAFAEL,1423,2019,11,1853201,0,0,0,0,0,0,0,0
Santander,MÁLAGA,1423,2019,11,5453002,40,0,1,0,0,0,0,0
Santander,SOCORRO,1423,2019,11,2921301,1,0,0,0,0,0,0,0
Tolima,FALAN,1423,2019,11,1751201,0,6,0,0,0,0,0,0
Quindio,ARMENIA,1423,2019,11,2011801,9,0,0,0,0,0,0,0
Antioquia,LA ESTRELLA,1423,2019,11,3403001,0,0,0,0,0,0,0,0
Antioquia,BELLO,1423,2019,11,3269601,3,0,0,0,0,0,0,0
La Guajira,FONSECA,1423,2019,11,3159401,0,0,0,0,0,0,0,0
Caldas,LA DORADA,1423,2019,11,3517002,2,0,0,0,0,0,0,0
Boyacá,SOMONDOCO,1423,2019,11,1751101,0,0,0,0,0,0,0,0
Boyacá,MONIQUIRÁ,1423,2019,11,1741201,2,0,0,0,0,0,0,0
Valle del Cauca,CALI,1423,2019,11,2012201,225,0,1,0,0,0,0,0
Sucre,SINCELEJO,1423,2019,11,1552101,158,0,1,0,0,0,0,0
Cundinamarca,FUSAGASUGÁ,1423,2019,11,5452102,466,3,0,0,0,0,0,0
Cundinamarca,SESQUILÉ,1423,2019,11,2011601,0,0,0,0,0,0,0,0
La Guajira,ALBANIA,1423,2019,11,3924902,0,0,0,0,0,0,0,0
Quindio,CALARCA,1423,2019,11,4241201,2,0,0,0,0,0,0,0
